24|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8513|2020010801|07/01/2020|09:10|07/01/2020|17:05|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|07/01/2020|17:05|08/01/2020|09:25||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0801|2|F1||
25|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8513|2020010801|07/01/2020|09:10|07/01/2020|17:05|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|07/01/2020|17:05|08/01/2020|09:25||5|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0801|2|F1||
26|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8513|2020010801|07/01/2020|09:10|07/01/2020|17:05|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|07/01/2020|17:05|08/01/2020|09:25||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|8|2||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0801|2|F1||
27|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8513|2020010801|07/01/2020|09:10|07/01/2020|17:05|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|07/01/2020|17:05|08/01/2020|09:25||7|86100-0K215-00|RECEIVER ASSY  RADIO & NAVIGATION|J279|SA.R -  14|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0801|2|F1||
28|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9595|2020010801|07/01/2020|15:33|07/01/2020|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|07/01/2020|20:35|08/01/2020|07:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|32|8||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0801|2|F1||
29|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9595|2020010801|07/01/2020|15:33|07/01/2020|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|07/01/2020|20:35|08/01/2020|07:30||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0801|2|F1||
30|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9595|2020010801|07/01/2020|15:33|07/01/2020|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|07/01/2020|20:35|08/01/2020|07:30||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0801|2|F1||
31|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9595|2020010801|07/01/2020|15:33|07/01/2020|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|07/01/2020|20:35|08/01/2020|07:30||4|86100-0K145-00|RECEIVER ASSY RADIO & NAVIGATION|F790|IP1  - A08|4|8|2||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0801|2|F1||
32|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8514|2020010802|07/01/2020|09:10|07/01/2020|17:05|PPA1|10|CD16|01|||||||||||||PPA1-10|722F-P-P1|07/01/2020|17:05|08/01/2020|14:25||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|52|13||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0801|2|F1||
33|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8514|2020010802|07/01/2020|09:10|07/01/2020|17:05|PPA1|10|CD16|01|||||||||||||PPA1-10|722F-P-P1|07/01/2020|17:05|08/01/2020|14:25||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0801|2|F1||
34|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8514|2020010802|07/01/2020|09:10|07/01/2020|17:05|PPA1|10|CD16|01|||||||||||||PPA1-10|722F-P-P1|07/01/2020|17:05|08/01/2020|14:25||3|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|12|3||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0801|2|F1||
35|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8514|2020010802|07/01/2020|09:10|07/01/2020|17:05|PPA1|10|CD16|01|||||||||||||PPA1-10|722F-P-P1|07/01/2020|17:05|08/01/2020|14:25||4|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|07/01/2020|09:10|07/01/2020|03:15|07/01/2020|03:15||06/01/2020|07:30|0801|2|F1||
36|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9596|2020010802|07/01/2020|15:33|07/01/2020|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|07/01/2020|20:35|08/01/2020|09:25||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|16|4||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0801|2|F1||
37|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9596|2020010802|07/01/2020|15:33|07/01/2020|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|07/01/2020|20:35|08/01/2020|09:25||2|86120-0KA50-00|RECEIVER ASSY RADIO|A796|IP1  - A07|4|4|1||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0801|2|F1||
38|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9596|2020010802|07/01/2020|15:33|07/01/2020|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|07/01/2020|20:35|08/01/2020|09:25||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0801|2|F1||
39|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9596|2020010802|07/01/2020|15:33|07/01/2020|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|07/01/2020|20:35|08/01/2020|09:25||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0801|2|F1||
40|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9596|2020010802|07/01/2020|15:33|07/01/2020|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|07/01/2020|20:35|08/01/2020|09:25||5|86100-0K145-00|RECEIVER ASSY RADIO & NAVIGATION|F790|IP1  - A08|4|12|3||F|07/01/2020|15:33|07/01/2020|11:23|07/01/2020|11:23||07/01/2020|07:30|0801|2|F1||
41|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8515|2020010803|08/01/2020|09:10|08/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|08/01/2020|17:05|08/01/2020|21:25||1|86100-0K145-00|RECEIVER ASSY  RADIO & NAVIGATION|J278|SA.R -  12|4|4|1||F|08/01/2020|09:10|08/01/2020|03:15|08/01/2020|03:15||07/01/2020|07:30|0801|2|F1||
42|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8515|2020010803|08/01/2020|09:10|08/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|08/01/2020|17:05|08/01/2020|21:25||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|48|12||F|08/01/2020|09:10|08/01/2020|03:15|08/01/2020|03:15||07/01/2020|07:30|0801|2|F1||
43|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8515|2020010803|08/01/2020|09:10|08/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|08/01/2020|17:05|08/01/2020|21:25||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|08/01/2020|09:10|08/01/2020|03:15|08/01/2020|03:15||07/01/2020|07:30|0801|2|F1||
44|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8515|2020010803|08/01/2020|09:10|08/01/2020|17:05|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|08/01/2020|17:05|08/01/2020|21:25||4|86140-0K570-00|RECEIVER ASSY  RADIO & DISPLAY|H713|SA.R -  12|4|4|1||F|08/01/2020|09:10|08/01/2020|03:15|08/01/2020|03:15||07/01/2020|07:30|0801|2|F1||
