24|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8243|2019093001|27/09/2019|15:53|27/09/2019|21:06|PPA1|02|CD16|02|||||||||||||PPA1-02|722F-P-P1|27/09/2019|21:06|30/09/2019|08:13||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|52|13||F|27/09/2019|15:53|27/09/2019|09:58|27/09/2019|09:58||27/09/2019|07:30|3009||F1||
25|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8243|2019093001|27/09/2019|15:53|27/09/2019|21:06|PPA1|02|CD16|02|||||||||||||PPA1-02|722F-P-P1|27/09/2019|21:06|30/09/2019|08:13||3|86140-0K140-00|RECEIVER ASSY  RADIO & DISPLAY|H709|SA.R -  13|4|4|1||F|27/09/2019|15:53|27/09/2019|09:58|27/09/2019|09:58||27/09/2019|07:30|3009||F1||
26|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8243|2019093001|27/09/2019|15:53|27/09/2019|21:06|PPA1|02|CD16|02|||||||||||||PPA1-02|722F-P-P1|27/09/2019|21:06|30/09/2019|08:13||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|27/09/2019|15:53|27/09/2019|09:58|27/09/2019|09:58||27/09/2019|07:30|3009||F1||
27|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8243|2019093001|27/09/2019|15:53|27/09/2019|21:06|PPA1|02|CD16|02|||||||||||||PPA1-02|722F-P-P1|27/09/2019|21:06|30/09/2019|08:13||5|86100-0K102-00|RECEIVER ASSY  RADIO & NAVIGATION|B035|SA.R -  14|4|4|1||F|27/09/2019|15:53|27/09/2019|09:58|27/09/2019|09:58||27/09/2019|07:30|3009|2|F1||
28|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8243|2019093001|27/09/2019|15:53|27/09/2019|21:06|PPA1|02|CD16|02|||||||||||||PPA1-02|722F-P-P1|27/09/2019|21:06|30/09/2019|08:13||6|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|27/09/2019|15:53|27/09/2019|09:58|27/09/2019|09:58||27/09/2019|07:30|3009|2|F1||
29|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8247|2019093001|28/09/2019|03:42|30/09/2019|09:06|PPA1|14|CD16|01|||||||||||||PPA1-14|722F-P-P1|30/09/2019|09:06|30/09/2019|20:13||1|89040-0K020-00|SIREN ASSY  THEFT WARNING|H715|SD.R -   7|35|35|1||I|28/09/2019|03:42|27/09/2019|18:04|27/09/2019|18:04||27/09/2019|07:30|3009||MX||
30|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8247|2019093001|28/09/2019|03:42|30/09/2019|09:06|PPA1|14|CD16|01|||||||||||||PPA1-14|722F-P-P1|30/09/2019|09:06|30/09/2019|20:13||2|89040-0K030-00|SIREN ASSY  THEFT WARNING|U365|SW.R -  10|16|16|1||H|28/09/2019|03:42|27/09/2019|18:04|27/09/2019|18:04||27/09/2019|07:30|3009||MX||
31|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9073|2019093001|27/09/2019|15:33|27/09/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|27/09/2019|20:35|30/09/2019|07:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|32|8||F|27/09/2019|15:33|27/09/2019|11:23|27/09/2019|11:23||27/09/2019|07:30|3009||F1||
32|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9073|2019093001|27/09/2019|15:33|27/09/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|27/09/2019|20:35|30/09/2019|07:30||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|27/09/2019|15:33|27/09/2019|11:23|27/09/2019|11:23||27/09/2019|07:30|3009||F1||
33|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B9073|2019093001|27/09/2019|15:33|27/09/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|27/09/2019|20:35|30/09/2019|07:30||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|27/09/2019|15:33|27/09/2019|11:23|27/09/2019|11:23||27/09/2019|07:30|3009||F1||
