24|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6393|2018071204|12/07/2018|15:35|12/07/2018|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|12/07/2018|21:06|13/07/2018|03:51||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
25|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6393|2018071204|12/07/2018|15:35|12/07/2018|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|12/07/2018|21:06|13/07/2018|03:51||4|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|8|2|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
26|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6393|2018071204|12/07/2018|15:35|12/07/2018|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|12/07/2018|21:06|13/07/2018|03:51||5|86140-0KA70-00|RECEIVER ASSY  RADIO & DISPLAY|H704|A4.SA- R11|4|4|1|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
27|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6393|2018071204|12/07/2018|15:35|12/07/2018|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|12/07/2018|21:06|13/07/2018|03:51||6|86100-0K213-00|RECEIVER ASSY  RADIO & NAVIGATION|U804|A5.SA- R10|4|4|1|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
28|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6393|2018071204|12/07/2018|15:35|12/07/2018|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|12/07/2018|21:06|13/07/2018|03:51||7|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|A5.SA- R10|4|4|1|||12/07/2018|15:35|12/07/2018|09:40|12/07/2018|09:40||12/07/2018|07:30|1207||||
29|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6676|2018071204|12/07/2018|04:23|12/07/2018|08:35|PSA|13|PD02|01|||||||||||||PSA-13|722B-S-S1|12/07/2018|08:35|12/07/2018|19:30||1|86100-0K143-00|RECEIVER ASSY RADIO & NAVIGATION|E453|IP1  - A07|4|16|4||0|12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
30|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6676|2018071204|12/07/2018|04:23|12/07/2018|08:35|PSA|13|PD02|01|||||||||||||PSA-13|722B-S-S1|12/07/2018|08:35|12/07/2018|19:30||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|20|5||0|12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
31|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6676|2018071204|12/07/2018|04:23|12/07/2018|08:35|PSA|13|PD02|01|||||||||||||PSA-13|722B-S-S1|12/07/2018|08:35|12/07/2018|19:30||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|16|4||0|12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
32|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6676|2018071204|12/07/2018|04:23|12/07/2018|08:35|PSA|13|PD02|01|||||||||||||PSA-13|722B-S-S1|12/07/2018|08:35|12/07/2018|19:30||4|86120-0KA00-00|RECEIVER ASSY RADIO|A792|PC   -DIRE|4|20|5|||12/07/2018|04:23|12/07/2018|00:13|12/07/2018|00:13||11/07/2018|07:30|1207||||
33|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6677|2018071205|12/07/2018|16:10|12/07/2018|20:40|PSA|17|PD02|03|||||||||||||PSA-17|722B-S-S1|12/07/2018|20:40|12/07/2018|22:43||1|86100-0K143-00|RECEIVER ASSY RADIO & NAVIGATION|E453|IP1  - A07|4|8|2||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1207||||
34|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6677|2018071205|12/07/2018|16:10|12/07/2018|20:40|PSA|17|PD02|03|||||||||||||PSA-17|722B-S-S1|12/07/2018|20:40|12/07/2018|22:43||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1207||||
35|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6677|2018071205|12/07/2018|16:10|12/07/2018|20:40|PSA|17|PD02|03|||||||||||||PSA-17|722B-S-S1|12/07/2018|20:40|12/07/2018|22:43||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|12|3||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1207||||
36|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6677|2018071205|12/07/2018|16:10|12/07/2018|20:40|PSA|17|PD02|03|||||||||||||PSA-17|722B-S-S1|12/07/2018|20:40|12/07/2018|22:43||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1207||||
37|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6677|2018071205|12/07/2018|16:10|12/07/2018|20:40|PSA|17|PD02|03|||||||||||||PSA-17|722B-S-S1|12/07/2018|20:40|12/07/2018|22:43||5|86120-0KA00-00|RECEIVER ASSY RADIO|A792|PC   -DIRE|4|20|5|||12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1207||||
38|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6678|2018071206|12/07/2018|16:10|12/07/2018|20:40|PSA|21|PD02|03|||||||||||||PSA-21|722B-S-S1|12/07/2018|20:40|13/07/2018|02:56||1|86100-0K143-00|RECEIVER ASSY RADIO & NAVIGATION|E453|IP1  - A07|4|16|4||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1207||||
39|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6678|2018071206|12/07/2018|16:10|12/07/2018|20:40|PSA|21|PD02|03|||||||||||||PSA-21|722B-S-S1|12/07/2018|20:40|13/07/2018|02:56||2|86120-0KA11-00|RECEIVER ASSY RADIO|E396|IP1  - A07|4|4|1||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1207||||
40|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6678|2018071206|12/07/2018|16:10|12/07/2018|20:40|PSA|21|PD02|03|||||||||||||PSA-21|722B-S-S1|12/07/2018|20:40|13/07/2018|02:56||3|86120-0KA50-00|RECEIVER ASSY RADIO|A796|IP1  - A07|4|4|1||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1207||||
41|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6678|2018071206|12/07/2018|16:10|12/07/2018|20:40|PSA|21|PD02|03|||||||||||||PSA-21|722B-S-S1|12/07/2018|20:40|13/07/2018|02:56||4|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|20|5||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1207||||
42|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6678|2018071206|12/07/2018|16:10|12/07/2018|20:40|PSA|21|PD02|03|||||||||||||PSA-21|722B-S-S1|12/07/2018|20:40|13/07/2018|02:56||5|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1207||||
43|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6678|2018071206|12/07/2018|16:10|12/07/2018|20:40|PSA|21|PD02|03|||||||||||||PSA-21|722B-S-S1|12/07/2018|20:40|13/07/2018|02:56||6|86120-0KA00-00|RECEIVER ASSY RADIO|A792|PC   -DIRE|4|24|6|||12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1207||||
44|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6394|2018071301|13/07/2018|03:46|13/07/2018|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|13/07/2018|09:06|13/07/2018|10:51||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|40|10|||13/07/2018|03:46|12/07/2018|21:51|12/07/2018|21:51||12/07/2018|07:30|1307||||
45|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6394|2018071301|13/07/2018|03:46|13/07/2018|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|13/07/2018|09:06|13/07/2018|10:51||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1|||13/07/2018|03:46|12/07/2018|21:51|12/07/2018|21:51||12/07/2018|07:30|1307||||
46|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6394|2018071301|13/07/2018|03:46|13/07/2018|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|13/07/2018|09:06|13/07/2018|10:51||3|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|16|4|||13/07/2018|03:46|12/07/2018|21:51|12/07/2018|21:51||12/07/2018|07:30|1307||||
47|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6394|2018071301|13/07/2018|03:46|13/07/2018|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|13/07/2018|09:06|13/07/2018|10:51||4|86100-0K101-00|RECEIVER ASSY  RADIO & NAVIGATION|U805|A5.SA- R10|4|4|1|||13/07/2018|03:46|12/07/2018|21:51|12/07/2018|21:51||12/07/2018|07:30|1307||||
48|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6394|2018071301|13/07/2018|03:46|13/07/2018|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|13/07/2018|09:06|13/07/2018|10:51||5|86100-0K213-00|RECEIVER ASSY  RADIO & NAVIGATION|U804|A5.SA- R10|4|4|1|||13/07/2018|03:46|12/07/2018|21:51|12/07/2018|21:51||12/07/2018|07:30|1307||||
49|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6394|2018071301|13/07/2018|03:46|13/07/2018|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|13/07/2018|09:06|13/07/2018|10:51||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|A5.SA- R10|4|4|1|||13/07/2018|03:46|12/07/2018|21:51|12/07/2018|21:51||12/07/2018|07:30|1307||||
50|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6394|2018071301|13/07/2018|03:46|13/07/2018|09:06|PPA1|06|CD16|01|||||||||||||PPA1-06|722F-P-P1|13/07/2018|09:06|13/07/2018|10:51||7|89040-0K030-00|SIREN ASSY  THEFT WARNING|U365|T4.SW- R06|16|32|2|||13/07/2018|03:46|12/07/2018|21:51|12/07/2018|21:51||12/07/2018|07:30|1307||||
51|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6679|2018071301|12/07/2018|16:10|12/07/2018|20:40|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|12/07/2018|20:40|13/07/2018|07:30||1|86100-0K143-00|RECEIVER ASSY RADIO & NAVIGATION|E453|IP1  - A07|4|12|3||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1307||||
52|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6679|2018071301|12/07/2018|16:10|12/07/2018|20:40|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|12/07/2018|20:40|13/07/2018|07:30||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1307||||
53|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6679|2018071301|12/07/2018|16:10|12/07/2018|20:40|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|12/07/2018|20:40|13/07/2018|07:30||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|24|6||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1307||||
54|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6679|2018071301|12/07/2018|16:10|12/07/2018|20:40|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|12/07/2018|20:40|13/07/2018|07:30||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||0|12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1307||||
55|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B6679|2018071301|12/07/2018|16:10|12/07/2018|20:40|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|12/07/2018|20:40|13/07/2018|07:30||5|86120-0KA00-00|RECEIVER ASSY RADIO|A792|PC   -DIRE|4|24|6|||12/07/2018|16:10|12/07/2018|12:00|12/07/2018|12:00||12/07/2018|07:30|1307||||
56|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6395|2018071302|13/07/2018|03:46|13/07/2018|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|13/07/2018|09:06|13/07/2018|15:51||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|36|9|||13/07/2018|03:46|12/07/2018|21:51|12/07/2018|21:51||12/07/2018|07:30|1307||||
57|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6395|2018071302|13/07/2018|03:46|13/07/2018|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|13/07/2018|09:06|13/07/2018|15:51||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|8|2|||13/07/2018|03:46|12/07/2018|21:51|12/07/2018|21:51||12/07/2018|07:30|1307||||
58|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6395|2018071302|13/07/2018|03:46|13/07/2018|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|13/07/2018|09:06|13/07/2018|15:51||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1|||13/07/2018|03:46|12/07/2018|21:51|12/07/2018|21:51||12/07/2018|07:30|1307||||
59|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B6395|2018071302|13/07/2018|03:46|13/07/2018|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|13/07/2018|09:06|13/07/2018|15:51||4|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|12|3|||13/07/2018|03:46|12/07/2018|21:51|12/07/2018|21:51||12/07/2018|07:30|1307||||
