37|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8710|2019073002|26/07/2019|15:50|26/07/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|26/07/2019|20:35|30/07/2019|09:57||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|8|2||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|3007||F1||
38|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8710|2019073002|26/07/2019|15:50|26/07/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|26/07/2019|20:35|30/07/2019|09:57||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|3007||F1||
39|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8710|2019073002|26/07/2019|15:50|26/07/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|26/07/2019|20:35|30/07/2019|09:57||4|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|26/07/2019|15:50|26/07/2019|11:40|26/07/2019|11:40||26/07/2019|07:30|3007||F1||
40|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7942|2019073003|27/07/2019|03:31|30/07/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|30/07/2019|09:06|30/07/2019|16:56||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
41|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7942|2019073003|27/07/2019|03:31|30/07/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|30/07/2019|09:06|30/07/2019|16:56||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|36|9||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
42|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7942|2019073003|27/07/2019|03:31|30/07/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|30/07/2019|09:06|30/07/2019|16:56||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
43|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7942|2019073003|27/07/2019|03:31|30/07/2019|09:06|PPA1|12|CD16|01|||||||||||||PPA1-12|722F-P-P1|30/07/2019|09:06|30/07/2019|16:56||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
44|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8711|2019073003|27/07/2019|03:20|30/07/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|30/07/2019|08:30|30/07/2019|13:15||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|24|6||F|27/07/2019|03:20|26/07/2019|19:49|26/07/2019|19:49||26/07/2019|07:30|3007||F1||
45|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8711|2019073003|27/07/2019|03:20|30/07/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|30/07/2019|08:30|30/07/2019|13:15||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|27/07/2019|03:20|26/07/2019|19:49|26/07/2019|19:49||26/07/2019|07:30|3007||F1||
46|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8711|2019073003|27/07/2019|03:20|30/07/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|30/07/2019|08:30|30/07/2019|13:15||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|27/07/2019|03:20|26/07/2019|19:49|26/07/2019|19:49||26/07/2019|07:30|3007||F1||
47|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8711|2019073003|27/07/2019|03:20|30/07/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|30/07/2019|08:30|30/07/2019|13:15||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|27/07/2019|03:20|26/07/2019|19:49|26/07/2019|19:49||26/07/2019|07:30|3007||F1||
48|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8711|2019073003|27/07/2019|03:20|30/07/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|30/07/2019|08:30|30/07/2019|13:15||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|27/07/2019|03:20|26/07/2019|19:49|26/07/2019|19:49||26/07/2019|07:30|3007||F1||
49|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7943|2019073004|27/07/2019|03:31|30/07/2019|09:06|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|30/07/2019|09:06|30/07/2019|21:50||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
50|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7943|2019073004|27/07/2019|03:31|30/07/2019|09:06|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|30/07/2019|09:06|30/07/2019|21:50||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|24|6||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
51|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7943|2019073004|27/07/2019|03:31|30/07/2019|09:06|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|30/07/2019|09:06|30/07/2019|21:50||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
52|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7943|2019073004|27/07/2019|03:31|30/07/2019|09:06|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|30/07/2019|09:06|30/07/2019|21:50||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
53|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7943|2019073004|27/07/2019|03:31|30/07/2019|09:06|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|30/07/2019|09:06|30/07/2019|21:50||5|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
54|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7943|2019073004|27/07/2019|03:31|30/07/2019|09:06|PPA1|16|CD16|01|||||||||||||PPA1-16|722F-P-P1|30/07/2019|09:06|30/07/2019|21:50||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|27/07/2019|03:31|26/07/2019|18:04|26/07/2019|18:04||26/07/2019|07:30|3007||F1||
