24|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4383|2016111707|17/11/2016|08:15|17/11/2016|14:40|PPA1|28|CD16|01|||||||||||||PPA1-28|722F-P-P1|17/11/2016|14:40|18/11/2016|01:56||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|8|2||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
25|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4383|2016111707|17/11/2016|08:15|17/11/2016|14:40|PPA1|28|CD16|01|||||||||||||PPA1-28|722F-P-P1|17/11/2016|14:40|18/11/2016|01:56||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|32|8||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
26|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4383|2016111707|17/11/2016|08:15|17/11/2016|14:40|PPA1|28|CD16|01|||||||||||||PPA1-28|722F-P-P1|17/11/2016|14:40|18/11/2016|01:56||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|8|2||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
27|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4383|2016111707|17/11/2016|08:15|17/11/2016|14:40|PPA1|28|CD16|01|||||||||||||PPA1-28|722F-P-P1|17/11/2016|14:40|18/11/2016|01:56||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
28|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4383|2016111707|17/11/2016|08:15|17/11/2016|14:40|PPA1|28|CD16|01|||||||||||||PPA1-28|722F-P-P1|17/11/2016|14:40|18/11/2016|01:56||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
29|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4384|2016111708|17/11/2016|08:15|17/11/2016|14:40|PPA1|32|CD16|01|||||||||||||PPA1-32|722F-P-P1|17/11/2016|14:40|18/11/2016|04:01||1|86100-0K142-00|RECEIVER ASSY  RADIO & NAVIGATION|K029|A4.SA- R11|4|4|1||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
30|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4384|2016111708|17/11/2016|08:15|17/11/2016|14:40|PPA1|32|CD16|01|||||||||||||PPA1-32|722F-P-P1|17/11/2016|14:40|18/11/2016|04:01||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|32|8||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
31|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4384|2016111708|17/11/2016|08:15|17/11/2016|14:40|PPA1|32|CD16|01|||||||||||||PPA1-32|722F-P-P1|17/11/2016|14:40|18/11/2016|04:01||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|8|2||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
32|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4384|2016111708|17/11/2016|08:15|17/11/2016|14:40|PPA1|32|CD16|01|||||||||||||PPA1-32|722F-P-P1|17/11/2016|14:40|18/11/2016|04:01||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|A4.SA- R11|4|4|1||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
33|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|P|BANPHO|P1|1|1P FTTLAP1B4384|2016111708|17/11/2016|08:15|17/11/2016|14:40|PPA1|32|CD16|01|||||||||||||PPA1-32|722F-P-P1|17/11/2016|14:40|18/11/2016|04:01||5|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1||3|17/11/2016|08:15|17/11/2016|02:20|17/11/2016|02:20||16/11/2016|07:30|1711||||
34|FTTL|A|FUJITSU TEN (THAILAND) CO.,LTD.|C|GATEWAY#2|C5|1|1C FTTLAC5A0010|2016111801|17/11/2016|23:20|18/11/2016|08:15|KD01|01|KD01|01|||||||||||||||||18/11/2016|08:15||1|86100-02240-00|RECEIVER ASSY  RADIO & NAVIGATION|T497|DLR  -  08|3|9|3|||17/11/2016|23:20|17/11/2016|18:27|17/11/2016|18:27||17/11/2016|07:30|1811||||
