39|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5896|2018010906|09/01/2018|16:10|09/01/2018|22:40|PSA|21|SD11|06|||||||||||||PSA-21|722B-S-S1|09/01/2018|22:40|10/01/2018|02:26||3|86120-0KA50-00|RECEIVER ASSY RADIO|A796|IP1. - A08|4|4|1||8|09/01/2018|16:10|09/01/2018|12:00|09/01/2018|12:00||09/01/2018|07:30|0901||||
40|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5896|2018010906|09/01/2018|16:10|09/01/2018|22:40|PSA|21|SD11|06|||||||||||||PSA-21|722B-S-S1|09/01/2018|22:40|10/01/2018|02:26||4|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1. - A08|4|12|3||8|09/01/2018|16:10|09/01/2018|12:00|09/01/2018|12:00||09/01/2018|07:30|0901||||
41|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B5896|2018010906|09/01/2018|16:10|09/01/2018|22:40|PSA|21|SD11|06|||||||||||||PSA-21|722B-S-S1|09/01/2018|22:40|10/01/2018|02:26||5|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1. - A08|4|12|3||8|09/01/2018|16:10|09/01/2018|12:00|09/01/2018|12:00||09/01/2018|07:30|0901||||
42|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C5|1|1C FTTLAC5A0289|2018011001|09/01/2018|15:30|10/01/2018|09:40|KD02|01|KD02|01|||||||||||||||||10/01/2018|09:40||1|86100-02241-00|RECEIVER ASSY  RADIO & NAVIGATION|T575|LQ   -  04|3|3|1|||09/01/2018|15:30|09/01/2018|10:37|09/01/2018|10:37||09/01/2018|07:30|1001||||
43|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C5|1|1C FTTLAC5A0289|2018011001|09/01/2018|15:30|10/01/2018|09:40|KD02|01|KD02|01|||||||||||||||||10/01/2018|09:40||2|86140-02550-00|RECEIVER ASSY  RADIO & DISPLAY|T502|LQ   -  04|3|27|9|||09/01/2018|15:30|09/01/2018|10:37|09/01/2018|10:37||09/01/2018|07:30|1001||||
44|FTTL|A|DENSO TEN (THAILAND) Limited.|G|GATEWAY|OG|1|1G FTTLAOGA0271|2018011001|10/01/2018|01:55|10/01/2018|10:17|GD05|01|GD05|01|||||||||||||GD05-01||10/01/2018|10:17||||1|PC600-0D01D-00|RECEIVER ASSY  RADIO&DISPLAY|29A5|..ZK -  05|3|6|2|||10/01/2018|01:55|09/01/2018|19:55|09/01/2018|19:55||09/01/2018|07:30|1001||||
45|FTTL|A|DENSO TEN (THAILAND) Limited.|G|GATEWAY|OG|1|1G FTTLAOGA0271|2018011001|10/01/2018|01:55|10/01/2018|10:17|GD05|01|GD05|01|||||||||||||GD05-01||10/01/2018|10:17||||2|PC600-0D01G-00|MANUAL  OWNERS RADIO|29A6|CS   -  17|10|10|1|||10/01/2018|01:55|09/01/2018|19:55|09/01/2018|19:55||09/01/2018|07:30|1001||||
46|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5794|2018011001|10/01/2018|02:07|10/01/2018|07:30|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|10/01/2018|07:30|10/01/2018|09:25||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|A4.SA- R11|4|32|8|||10/01/2018|02:07|09/01/2018|20:12|09/01/2018|20:12||09/01/2018|07:30|1001||||
47|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5794|2018011001|10/01/2018|02:07|10/01/2018|07:30|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|10/01/2018|07:30|10/01/2018|09:25||2|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|A4.SA- R11|4|4|1|||10/01/2018|02:07|09/01/2018|20:12|09/01/2018|20:12||09/01/2018|07:30|1001||||
48|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B5794|2018011001|10/01/2018|02:07|10/01/2018|07:30|PPA1|04|CD16|01|||||||||||||PPA1-04|722F-P-P1|10/01/2018|07:30|10/01/2018|09:25||3|86140-0K620-00|RECEIVER ASSY  RADIO & DISPLAY|H714|A4.SA- R11|4|4|1|||10/01/2018|02:07|09/01/2018|20:12|09/01/2018|20:12||09/01/2018|07:30|1001||||
