INV201510211,GM,GGA2,20-Oct-15,FTTL,9:20,1,52033621,"6.5"" Tweeter",,153000-22800101,"Speaker 6.5"" Tweeter",GGA2,1440,96
INV201510212,GM,GGA1,20-Oct-15,FTTL,9:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA1,600,120
INV201510212,GM,GGA1,20-Oct-15,FTTL,9:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA1,864,288
INV201510213,GM,GGA2,20-Oct-15,FTTL,9:20,1,98128501,NB-2TH,,151121-00300101,NETWORK BOX,GGA2,15,1
INV201510265,GM,GGA0,23-Oct-15,FTTL,9:20,1,52029707,G-12TH,,123001-3190C101,RADIO ASM-AM/FM,GGA0,60,30
INV201510271,GM,GGA0,26-Oct-15,FTTL,9:20,1,52029707,G-12TH,,123001-3190C101,RADIO ASM-AM/FM,GGA0,96,48
INV201510272,GM,GGA1,26-Oct-15,FTTL,9:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA1,120,24
INV201510272,GM,GGA1,26-Oct-15,FTTL,9:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA1,360,120
INV201510273,GM,GGA2,26-Oct-15,FTTL,9:20,1,98128501,NB-2TH,,151121-00300101,NETWORK BOX,GGA2,30,2
INV201510278,GM,GGA0,27-Oct-15,FTTL,9:20,1,52029707,G-12TH,,123001-3190C101,RADIO ASM-AM/FM,GGA0,132,66
INV201510279,GM,GGA2,27-Oct-15,FTTL,9:20,1,52033621,"6.5"" Tweeter",,153000-22800101,"Speaker 6.5"" Tweeter",GGA2,720,48
INV201510280,GM,GGA1,27-Oct-15,FTTL,9:20,1,52033623,16cm full,,153000-23200101,Speaker with inductor,GGA1,120,24
INV201510280,GM,GGA1,27-Oct-15,FTTL,9:20,2,52033625,"6""x 9""",,153000-22900101,"Speaker 6""x9"" 4W Full Range",GGA1,432,144
