1|FTTL|A|DENSO TEN (THAILAND) Limited.|C|GATEWAY#2|C2|1|1C FTTLAC2A0955|2019082201|22/08/2019|13:31|22/08/2019|19:30|PK2|15|KD02|01|||||||||||||PK2-15|722C-C-C2|22/08/2019|19:30|22/08/2019|20:46||1|89040-02070-00|SIREN ASSY  THEFT WARNING|475C|LI   -  07|12|24|2||B|22/08/2019|13:31|22/08/2019|08:38|22/08/2019|08:38||22/08/2019|07:30|2208||||
14|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8848|2019082208|22/08/2019|15:50|22/08/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|22/08/2019|20:35|23/08/2019|03:42||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|22/08/2019|15:50|22/08/2019|11:40|22/08/2019|11:40||22/08/2019|07:30|2208||F1||
15|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8848|2019082208|22/08/2019|15:50|22/08/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|22/08/2019|20:35|23/08/2019|03:42||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|22/08/2019|15:50|22/08/2019|11:40|22/08/2019|11:40||22/08/2019|07:30|2208||F1||
16|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8848|2019082208|22/08/2019|15:50|22/08/2019|20:35|PSA|22|PD02|03|||||||||||||PSA-22|722B-S-S1|22/08/2019|20:35|23/08/2019|03:42||4|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|22/08/2019|15:50|22/08/2019|11:40|22/08/2019|11:40||22/08/2019|07:30|2208||F1||
17|FTTL|A|DENSO TEN (THAILAND) Limited.|B|BANGPAKONG|BN|1|1B FTTLABNA2118|2019082301|23/08/2019|13:15|23/08/2019|15:45|PSF|14|ED06|01|||||||||||||PSF-14|722E-B-PK|23/08/2019|15:45|23/08/2019|20:08||1|89040-0K030-00|SIREN ASSY  THEFT WARNING|I257|DIRECT|10|30|3||Z|23/08/2019|13:15|22/08/2019|17:15|22/08/2019|17:15||22/08/2019|07:30|2308|||CB2|
18|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8063|2019082301|22/08/2019|15:34|22/08/2019|21:06|PPA1|01|CD16|02|||||||||||||PPA1-01|722F-P-P1|22/08/2019|21:06|23/08/2019|07:30||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
19|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8063|2019082301|22/08/2019|15:34|22/08/2019|21:06|PPA1|01|CD16|02|||||||||||||PPA1-01|722F-P-P1|22/08/2019|21:06|23/08/2019|07:30||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|40|10||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
20|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8063|2019082301|22/08/2019|15:34|22/08/2019|21:06|PPA1|01|CD16|02|||||||||||||PPA1-01|722F-P-P1|22/08/2019|21:06|23/08/2019|07:30||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|8|2||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
21|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8063|2019082301|22/08/2019|15:34|22/08/2019|21:06|PPA1|01|CD16|02|||||||||||||PPA1-01|722F-P-P1|22/08/2019|21:06|23/08/2019|07:30||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
22|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8063|2019082301|22/08/2019|15:34|22/08/2019|21:06|PPA1|01|CD16|02|||||||||||||PPA1-01|722F-P-P1|22/08/2019|21:06|23/08/2019|07:30||5|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
23|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8063|2019082301|22/08/2019|15:34|22/08/2019|21:06|PPA1|01|CD16|02|||||||||||||PPA1-01|722F-P-P1|22/08/2019|21:06|23/08/2019|07:30||6|86100-0K102-00|RECEIVER ASSY  RADIO & NAVIGATION|B035|SA.R -  14|4|4|1||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
24|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8063|2019082301|22/08/2019|15:34|22/08/2019|21:06|PPA1|01|CD16|02|||||||||||||PPA1-01|722F-P-P1|22/08/2019|21:06|23/08/2019|07:30||7|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
25|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8063|2019082301|22/08/2019|15:34|22/08/2019|21:06|PPA1|01|CD16|02|||||||||||||PPA1-01|722F-P-P1|22/08/2019|21:06|23/08/2019|07:30||8|86120-0KA11-00|RECEIVER ASSY  RADIO|U587|SA.R -  14|4|4|1||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
26|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8068|2019082301|23/08/2019|03:31|23/08/2019|09:06|PPA1|09|CD16|01|||||||||||||PPA1-09|722F-P-P1|23/08/2019|09:06|23/08/2019|14:26||1|89040-0K030-00|SIREN ASSY  THEFT WARNING|U365|SW.R -  10|16|16|1||H|23/08/2019|03:31|22/08/2019|21:36|22/08/2019|21:36||22/08/2019|07:30|2308||MX||
27|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8849|2019082301|22/08/2019|15:50|22/08/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|22/08/2019|20:35|23/08/2019|07:30||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|36|9||F|22/08/2019|15:50|22/08/2019|11:40|22/08/2019|11:40||22/08/2019|07:30|2308||F1||
28|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8849|2019082301|22/08/2019|15:50|22/08/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|22/08/2019|20:35|23/08/2019|07:30||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|22/08/2019|15:50|22/08/2019|11:40|22/08/2019|11:40||22/08/2019|07:30|2308||F1||
29|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8849|2019082301|22/08/2019|15:50|22/08/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|22/08/2019|20:35|23/08/2019|07:30||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|22/08/2019|15:50|22/08/2019|11:40|22/08/2019|11:40||22/08/2019|07:30|2308||F1||
30|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8849|2019082301|22/08/2019|15:50|22/08/2019|20:35|PSA|01|PD02|03|||||||||||||PSA-01|722B-S-S1|22/08/2019|20:35|23/08/2019|07:30||4|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|22/08/2019|15:50|22/08/2019|11:40|22/08/2019|11:40||22/08/2019|07:30|2308||F1||
31|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8064|2019082302|22/08/2019|15:34|22/08/2019|21:06|PPA1|05|CD16|02|||||||||||||PPA1-05|722F-P-P1|22/08/2019|21:06|23/08/2019|10:33||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
32|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8064|2019082302|22/08/2019|15:34|22/08/2019|21:06|PPA1|05|CD16|02|||||||||||||PPA1-05|722F-P-P1|22/08/2019|21:06|23/08/2019|10:33||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|44|11||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
33|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8064|2019082302|22/08/2019|15:34|22/08/2019|21:06|PPA1|05|CD16|02|||||||||||||PPA1-05|722F-P-P1|22/08/2019|21:06|23/08/2019|10:33||3|86120-0KA20-00|RECEIVER ASSY  RADIO|H556|SA.R -  12|4|4|1||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
34|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8064|2019082302|22/08/2019|15:34|22/08/2019|21:06|PPA1|05|CD16|02|||||||||||||PPA1-05|722F-P-P1|22/08/2019|21:06|23/08/2019|10:33||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|8|2||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
35|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8064|2019082302|22/08/2019|15:34|22/08/2019|21:06|PPA1|05|CD16|02|||||||||||||PPA1-05|722F-P-P1|22/08/2019|21:06|23/08/2019|10:33||5|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
36|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8064|2019082302|22/08/2019|15:34|22/08/2019|21:06|PPA1|05|CD16|02|||||||||||||PPA1-05|722F-P-P1|22/08/2019|21:06|23/08/2019|10:33||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
37|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8064|2019082302|22/08/2019|15:34|22/08/2019|21:06|PPA1|05|CD16|02|||||||||||||PPA1-05|722F-P-P1|22/08/2019|21:06|23/08/2019|10:33||7|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|22/08/2019|15:34|22/08/2019|09:39|22/08/2019|09:39||22/08/2019|07:30|2308||F1||
38|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8850|2019082302|22/08/2019|15:50|22/08/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/08/2019|20:35|23/08/2019|09:57||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|36|9||F|22/08/2019|15:50|22/08/2019|11:40|22/08/2019|11:40||22/08/2019|07:30|2308||F1||
39|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8850|2019082302|22/08/2019|15:50|22/08/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/08/2019|20:35|23/08/2019|09:57||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|22/08/2019|15:50|22/08/2019|11:40|22/08/2019|11:40||22/08/2019|07:30|2308||F1||
40|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8850|2019082302|22/08/2019|15:50|22/08/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/08/2019|20:35|23/08/2019|09:57||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|22/08/2019|15:50|22/08/2019|11:40|22/08/2019|11:40||22/08/2019|07:30|2308||F1||
41|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8850|2019082302|22/08/2019|15:50|22/08/2019|20:35|PSA|04|PD02|03|||||||||||||PSA-04|722B-S-S1|22/08/2019|20:35|23/08/2019|09:57||4|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|22/08/2019|15:50|22/08/2019|11:40|22/08/2019|11:40||22/08/2019|07:30|2308||F1||
42|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8065|2019082303|23/08/2019|03:31|23/08/2019|09:06|PPA1|09|CD16|01|||||||||||||PPA1-09|722F-P-P1|23/08/2019|09:06|23/08/2019|14:26||1|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|40|10||F|23/08/2019|03:31|22/08/2019|21:36|22/08/2019|21:36||22/08/2019|07:30|2308||F1||
43|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8065|2019082303|23/08/2019|03:31|23/08/2019|09:06|PPA1|09|CD16|01|||||||||||||PPA1-09|722F-P-P1|23/08/2019|09:06|23/08/2019|14:26||2|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|23/08/2019|03:31|22/08/2019|21:36|22/08/2019|21:36||22/08/2019|07:30|2308||F1||
44|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8065|2019082303|23/08/2019|03:31|23/08/2019|09:06|PPA1|09|CD16|01|||||||||||||PPA1-09|722F-P-P1|23/08/2019|09:06|23/08/2019|14:26||3|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|23/08/2019|03:31|22/08/2019|21:36|22/08/2019|21:36||22/08/2019|07:30|2308||F1||
45|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8851|2019082303|23/08/2019|03:20|23/08/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|23/08/2019|08:30|23/08/2019|13:15||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|32|8||F|23/08/2019|03:20|22/08/2019|23:10|22/08/2019|23:10||22/08/2019|07:30|2308||F1||
46|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8851|2019082303|23/08/2019|03:20|23/08/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|23/08/2019|08:30|23/08/2019|13:15||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|23/08/2019|03:20|22/08/2019|23:10|22/08/2019|23:10||22/08/2019|07:30|2308||F1||
47|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8851|2019082303|23/08/2019|03:20|23/08/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|23/08/2019|08:30|23/08/2019|13:15||3|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|8|2||F|23/08/2019|03:20|22/08/2019|23:10|22/08/2019|23:10||22/08/2019|07:30|2308||F1||
48|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8851|2019082303|23/08/2019|03:20|23/08/2019|08:30|PSA|07|PD02|01|||||||||||||PSA-07|722B-S-S1|23/08/2019|08:30|23/08/2019|13:15||4|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|4|1||F|23/08/2019|03:20|22/08/2019|23:10|22/08/2019|23:10||22/08/2019|07:30|2308||F1||
49|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8066|2019082304|23/08/2019|03:31|23/08/2019|09:06|PPA1|13|CD16|01|||||||||||||PPA1-13|722F-P-P1|23/08/2019|09:06|23/08/2019|19:30||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|23/08/2019|03:31|22/08/2019|21:36|22/08/2019|21:36||22/08/2019|07:30|2308||F1||
50|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8066|2019082304|23/08/2019|03:31|23/08/2019|09:06|PPA1|13|CD16|01|||||||||||||PPA1-13|722F-P-P1|23/08/2019|09:06|23/08/2019|19:30||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|44|11||F|23/08/2019|03:31|22/08/2019|21:36|22/08/2019|21:36||22/08/2019|07:30|2308||F1||
51|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8066|2019082304|23/08/2019|03:31|23/08/2019|09:06|PPA1|13|CD16|01|||||||||||||PPA1-13|722F-P-P1|23/08/2019|09:06|23/08/2019|19:30||3|86140-0K570-00|RECEIVER ASSY  RADIO & DISPLAY|H713|SA.R -  12|4|4|1||F|23/08/2019|03:31|22/08/2019|21:36|22/08/2019|21:36||22/08/2019|07:30|2308||F1||
52|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8066|2019082304|23/08/2019|03:31|23/08/2019|09:06|PPA1|13|CD16|01|||||||||||||PPA1-13|722F-P-P1|23/08/2019|09:06|23/08/2019|19:30||4|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|8|2||F|23/08/2019|03:31|22/08/2019|21:36|22/08/2019|21:36||22/08/2019|07:30|2308||F1||
53|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8066|2019082304|23/08/2019|03:31|23/08/2019|09:06|PPA1|13|CD16|01|||||||||||||PPA1-13|722F-P-P1|23/08/2019|09:06|23/08/2019|19:30||5|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|23/08/2019|03:31|22/08/2019|21:36|22/08/2019|21:36||22/08/2019|07:30|2308||F1||
54|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8066|2019082304|23/08/2019|03:31|23/08/2019|09:06|PPA1|13|CD16|01|||||||||||||PPA1-13|722F-P-P1|23/08/2019|09:06|23/08/2019|19:30||6|86140-0KB70-00|RECEIVER ASSY  RADIO & DISPLAY|U315|SA.R -  13|4|4|1||F|23/08/2019|03:31|22/08/2019|21:36|22/08/2019|21:36||22/08/2019|07:30|2308||F1||
55|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B8066|2019082304|23/08/2019|03:31|23/08/2019|09:06|PPA1|13|CD16|01|||||||||||||PPA1-13|722F-P-P1|23/08/2019|09:06|23/08/2019|19:30||7|86100-0K214-00|RECEIVER ASSY  RADIO & NAVIGATION|B037|SA.R -  14|4|4|1||F|23/08/2019|03:31|22/08/2019|21:36|22/08/2019|21:36||22/08/2019|07:30|2308||F1||
56|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8852|2019082304|23/08/2019|03:20|23/08/2019|08:30|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|23/08/2019|08:30|23/08/2019|15:42||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|36|9||F|23/08/2019|03:20|22/08/2019|23:10|22/08/2019|23:10||22/08/2019|07:30|2308||F1||
57|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8852|2019082304|23/08/2019|03:20|23/08/2019|08:30|PSA|10|PD02|01|||||||||||||PSA-10|722B-S-S1|23/08/2019|08:30|23/08/2019|15:42||2|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|4|1||F|23/08/2019|03:20|22/08/2019|23:10|22/08/2019|23:10||22/08/2019|07:30|2308||F1||
