39|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8469|2019061705|15/06/2019|15:20|17/06/2019|08:30|PSA|14|PD02|01|||||||||||||PSA-14|722B-S-S1|17/06/2019|08:30|17/06/2019|20:15||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|20|5||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
40|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8469|2019061705|15/06/2019|15:20|17/06/2019|08:30|PSA|14|PD02|01|||||||||||||PSA-14|722B-S-S1|17/06/2019|08:30|17/06/2019|20:15||2|86120-0KA20-00|RECEIVER ASSY RADIO|A794|IP1  - A07|4|4|1||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
41|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8469|2019061705|15/06/2019|15:20|17/06/2019|08:30|PSA|14|PD02|01|||||||||||||PSA-14|722B-S-S1|17/06/2019|08:30|17/06/2019|20:15||3|86140-0K200-00|RECEIVER ASSY RADIO & DISPLAY|A798|IP1  - A07|4|12|3||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
42|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8469|2019061705|15/06/2019|15:20|17/06/2019|08:30|PSA|14|PD02|01|||||||||||||PSA-14|722B-S-S1|17/06/2019|08:30|17/06/2019|20:15||4|86140-0K570-00|RECEIVER ASSY RADIO & DISPLAY|A799|IP1  - A07|4|4|1||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
43|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8469|2019061705|15/06/2019|15:20|17/06/2019|08:30|PSA|14|PD02|01|||||||||||||PSA-14|722B-S-S1|17/06/2019|08:30|17/06/2019|20:15||5|86100-0K144-00|RECEIVER ASSY RADIO & NAVIGATION|F154|IP1  - A08|4|8|2||F|15/06/2019|15:20|15/06/2019|11:10|15/06/2019|11:10||14/06/2019|07:30|1706||||
44|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7738|2019061706|17/06/2019|15:34|17/06/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|17/06/2019|21:06|18/06/2019|04:56||1|86100-0K144-00|RECEIVER ASSY  RADIO & NAVIGATION|B036|SA.R -  12|4|4|1||F|17/06/2019|15:34|17/06/2019|09:39|17/06/2019|09:39||17/06/2019|07:30|1706||F1||
45|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7738|2019061706|17/06/2019|15:34|17/06/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|17/06/2019|21:06|18/06/2019|04:56||2|86120-0KA00-00|RECEIVER ASSY  RADIO|H550|SA.R -  12|4|36|9||F|17/06/2019|15:34|17/06/2019|09:39|17/06/2019|09:39||17/06/2019|07:30|1706||F1||
46|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7738|2019061706|17/06/2019|15:34|17/06/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|17/06/2019|21:06|18/06/2019|04:56||3|86140-0K200-00|RECEIVER ASSY  RADIO & DISPLAY|H712|SA.R -  13|4|4|1||F|17/06/2019|15:34|17/06/2019|09:39|17/06/2019|09:39||17/06/2019|07:30|1706||F1||
47|FTTL|A|DENSO TEN (THAILAND) Limited.|P|BANPHO|P1|1|1P FTTLAP1B7738|2019061706|17/06/2019|15:34|17/06/2019|21:06|PPA1|24|CD16|02|||||||||||||PPA1-24|722F-P-P1|17/06/2019|21:06|18/06/2019|04:56||4|86140-0K621-00|RECEIVER ASSY  RADIO & DISPLAY|J110|SA.R -  13|4|4|1||F|17/06/2019|15:34|17/06/2019|09:39|17/06/2019|09:39||17/06/2019|07:30|1706||F1||
48|FTTL|A|DENSO TEN (THAILAND) Limited.|S|SAMRONG|S1|1|1S FTTLAS1B8470|2019061706|17/06/2019|15:50|17/06/2019|20:35|PSA|17|PD02|03|||||||||||||PSA-17|722B-S-S1|17/06/2019|20:35|17/06/2019|22:43||1|86120-0KA00-00|RECEIVER ASSY RADIO|A792|IP1  - A07|4|36|9||F|17/06/2019|15:50|17/06/2019|11:40|17/06/2019|11:40||17/06/2019|07:30|1706||||
