,Order,,Part No.,,ETA Date.,,Order Q'ty,Part Name,,,,,,Delivery place,Doc,,Q'ty/box,ETA Time,Plant,,,
MD,EDFN213907,201511                D,8980529370,0PV4D,20151110,0,30,SPEAKER ASM,M,IMCTM,S0FR05,FTTL,7070,IMCT,S0,PTB,3,1510,SR,000000000000 FUJITSU TEN (THAILAN15059CU0007007,*,20151104IMF1511045.TXT
MD,EDFN213908,201511                D,8980529400,0PT1D,20151110,0,30,SPEAKER ASM,M,IMCTM,S5NB04,2FTTL,7070,IMCT,S5,PTB,15,1000,SR,000000000000 FUJITSU TEN (THAILAN15034CL0011011,*,20151104IMF1511045.TXT
MD,EDFN213909,201511                D,8980529400,0PT1D,20151110,0,90,SPEAKER ASM,M,IMCTM,S5NB04,2FTTL,7070,IMCT,S5,PTB,15,1510,SR,000000000000 FUJITSU TEN (THAILAN15060DL007607715085FL0005005,*,20151104IMF1511045.TXT
MD,EDFN213910,201511                D,8980529400,0PT4D,20151110,0,30,SPEAKER ASM,M,IMCTM,S9AFA2,5FTTL,7070,IMCT,S9,PTB,15,1510,SR,000000000000 FUJITSU TEN (THAILAN15059CU0007007,*,20151104IMF1511045.TXT
MD,EDFN213911,201511                D,8980529410,0PV1D,20151110,0,30,SPEAKER ASM,M,IMCTM,S5MB13,FTTL,7070,IMCT,S5,PTB,5,1510,SR,000000000000 FUJITSU TEN (THAILAN15085FL0005005,*,20151104IMF1511045.TXT
MD,EDFN213912,201511                D,8980529420,0PT4D,20151110,0,30,SPEAKER ASM,M,IMCTM,S9AFA2,5FTTL,7070,IMCT,S9,PTB,30,1510,SR,000000000000 FUJITSU TEN (THAILAN15059CU0007007,*,20151104IMF1511045.TXT
MD,EDFN213913,201511                D,8980647040,0PT4D,20151110,0,15,"SPEAKER ASM;RDO,",M,IMCTM,S0TL03,FTTL,7070,IMCT,S0,PTB,15,1510,SR,000000000000 FUJITSU TEN (THAILAN15059CU0007007,*,20151104IMF1511045.TXT
MD,EDFN213914,201511                D,8982413562,0PT1D,20151110,0,15,"RADIO;AM/FM,CD,F",M,IMCTM,S5NC06,FTTL,7070,IMCT,S5,CPB,3,310,SR,000000000000 FUJITSU TEN (THAILAN15034CL0011011,*,20151104IMF1511045.TXT
MD,EDFN213915,201511                D,8982413572,0PT1D,20151110,0,30,"RADIO;AM/FM,CD,F",M,IMCTM,S5NC06,FTTL,7070,IMCT,S5,PTB,3,1510,SR,000000000000 FUJITSU TEN (THAILAN15060DL0076077,*,20151104IMF1511045.TXT
MD,EDFN213916,201511                D,8982436022,0PT4D,20151110,0,15,"RADIO;AM/FM,CD",M,IMCTM,S9CO00,1FTTL,7070,IMCT,S9,CPB,3,1510,SR,000000000000 FUJITSU TEN (THAILAN15059CU0007007,*,20151104IMF1511045.TXT
